event_id,issue_id,asset_id,failure_mode,component,degradation_started_at,failure_occurred_at,maintenance_started_at,maintenance_completed_at,snr_profile,signal_strength,condition_variant
EVT-e5026a2ca1cfd6cd-001,ISS-e5026a2ca1cfd6cd,CNC-S01-L01-01,overstrain_failure,OSF,2026-09-06T00:00:00+09:00,2026-09-07T06:00:00+09:00,2026-09-07T06:10:00+09:00,2026-09-07T08:00:00+09:00,easy,1.0047,osf
EVT-0cf837532a371510-001,ISS-0cf837532a371510,CNC-S01-L01-03,tool_wear_failure,TWF,2026-09-06T01:00:00+09:00,2026-09-07T11:00:00+09:00,2026-09-07T11:10:00+09:00,2026-09-07T15:00:00+09:00,medium,0.6081,twf
EVT-22537b591d7e5835-001,ISS-22537b591d7e5835,CNC-S01-L01-04,tool_wear_failure,TWF,2026-09-01T00:00:00+09:00,2026-09-01T15:00:00+09:00,2026-09-01T15:10:00+09:00,2026-09-01T23:00:00+09:00,medium,0.6214,twf
EVT-1072e44d1c12a46b-001,ISS-1072e44d1c12a46b,CNC-S01-L01-04,power_failure,PWF,2026-08-07T17:00:00+09:00,2026-08-08T17:00:00+09:00,2026-08-08T17:00:00+09:00,2026-08-08T23:00:00+09:00,medium,0.7197,low_power
EVT-27cc45ffa0406351-001,ISS-27cc45ffa0406351,CNC-S01-L02-01,tool_wear_failure,TWF,2026-09-02T19:00:00+09:00,2026-09-03T10:00:00+09:00,2026-09-03T10:10:00+09:00,2026-09-03T14:00:00+09:00,medium,0.7752,twf
EVT-2d195d54b96628f1-001,ISS-2d195d54b96628f1,CNC-S01-L02-02,heat_dissipation_failure,HDF,2026-08-07T06:00:00+09:00,2026-08-08T02:00:00+09:00,2026-08-08T02:00:00+09:00,2026-08-08T08:00:00+09:00,medium,0.6942,hdf
EVT-0275d75fcb49cd7b-001,ISS-0275d75fcb49cd7b,CNC-S01-L02-04,heat_dissipation_failure,HDF,2026-08-18T04:00:00+09:00,2026-08-19T02:00:00+09:00,2026-08-19T02:00:00+09:00,2026-08-19T06:00:00+09:00,easy,1.1783,hdf
EVT-e603231ab4bd2fcb-001,ISS-e603231ab4bd2fcb,CNC-S01-L03-01,heat_dissipation_failure,HDF,2026-08-23T10:00:00+09:00,2026-08-24T15:00:00+09:00,2026-08-24T15:00:00+09:00,2026-08-24T22:00:00+09:00,medium,0.7924,hdf
EVT-5ffec92f9e2d6dd1-001,ISS-5ffec92f9e2d6dd1,CNC-S01-L03-03,heat_dissipation_failure,HDF,2026-08-06T10:00:00+09:00,2026-08-07T11:00:00+09:00,2026-08-07T11:00:00+09:00,2026-08-07T16:00:00+09:00,medium,0.819,hdf
EVT-8bde4dacf11f2fef-001,ISS-8bde4dacf11f2fef,CNC-S01-L03-04,random_failure,RNF,2026-08-31T18:00:00+09:00,2026-09-02T03:00:00+09:00,2026-09-02T03:00:00+09:00,2026-09-02T05:00:00+09:00,medium,0.695,rnf
EVT-3c8cf76234a90adb-001,ISS-3c8cf76234a90adb,CNC-S01-L04-01,heat_dissipation_failure,HDF,2026-08-16T05:00:00+09:00,2026-08-17T17:00:00+09:00,2026-08-17T17:00:00+09:00,2026-08-17T23:00:00+09:00,hard,0.3915,hdf
EVT-002d878c3cec7b9d-001,ISS-002d878c3cec7b9d,CNC-S01-L04-02,power_failure,PWF,2026-08-14T07:00:00+09:00,2026-08-15T01:00:00+09:00,2026-08-15T01:00:00+09:00,2026-08-15T05:00:00+09:00,medium,0.6956,high_power
EVT-397909eb7f2bb218-001,ISS-397909eb7f2bb218,CNC-S01-L04-03,power_failure,PWF,2026-08-14T19:00:00+09:00,2026-08-16T02:00:00+09:00,2026-08-16T02:00:00+09:00,2026-08-16T07:00:00+09:00,easy,1.1823,high_power
EVT-bb9be28a39a13612-001,ISS-bb9be28a39a13612,CNC-S01-L04-04,overstrain_failure,OSF,2026-08-06T03:00:00+09:00,2026-08-06T22:00:00+09:00,2026-08-06T22:10:00+09:00,2026-08-07T01:00:00+09:00,hard,0.4083,osf
EVT-f58dc3151435138f-001,ISS-f58dc3151435138f,CNC-S01-L04-04,heat_dissipation_failure,HDF,2026-08-23T17:00:00+09:00,2026-08-25T05:00:00+09:00,2026-08-25T05:00:00+09:00,2026-08-25T13:00:00+09:00,easy,1.1149,hdf
EVT-c8840ecab5b918ba-001,ISS-c8840ecab5b918ba,CNC-S01-L05-01,overstrain_failure,OSF,2026-09-04T04:00:00+09:00,2026-09-05T01:00:00+09:00,2026-09-05T01:10:00+09:00,2026-09-05T08:00:00+09:00,medium,0.6683,osf
EVT-13bc1a3c083ec926-001,ISS-13bc1a3c083ec926,CNC-S01-L05-02,tool_wear_failure,TWF,2026-08-30T06:00:00+09:00,2026-08-30T20:00:00+09:00,2026-08-30T20:10:00+09:00,2026-08-30T22:00:00+09:00,medium,0.6121,twf
EVT-19aacdd8e25a7389-001,ISS-19aacdd8e25a7389,CNC-S01-L05-03,tool_wear_failure,TWF,2026-08-20T23:00:00+09:00,2026-08-21T12:00:00+09:00,2026-08-21T12:10:00+09:00,2026-08-21T14:00:00+09:00,hard,0.3891,twf
EVT-d975815f334f3a4d-001,ISS-d975815f334f3a4d,CNC-S01-L05-03,heat_dissipation_failure,HDF,2026-08-19T06:00:00+09:00,2026-08-20T09:00:00+09:00,2026-08-20T09:00:00+09:00,2026-08-20T15:00:00+09:00,easy,1.1839,hdf
EVT-1fdd6e9bba76ca4d-001,ISS-1fdd6e9bba76ca4d,CNC-S01-L05-04,power_failure,PWF,2026-09-10T13:00:00+09:00,2026-09-11T08:00:00+09:00,2026-09-11T08:00:00+09:00,2026-09-11T16:00:00+09:00,medium,0.5755,high_power
EVT-f620214f13b45f78-001,ISS-f620214f13b45f78,CNC-S02-L01-01,heat_dissipation_failure,HDF,2026-08-22T07:00:00+09:00,2026-08-23T09:00:00+09:00,2026-08-23T09:00:00+09:00,2026-08-23T17:00:00+09:00,hard,0.2975,hdf
EVT-a75191e8f372d6b6-001,ISS-a75191e8f372d6b6,CNC-S02-L01-02,power_failure,PWF,2026-08-24T01:00:00+09:00,2026-08-25T09:00:00+09:00,2026-08-25T09:00:00+09:00,2026-08-25T17:00:00+09:00,easy,0.9733,low_power
EVT-27e3aff4df18e575-001,ISS-27e3aff4df18e575,CNC-S02-L01-03,heat_dissipation_failure,HDF,2026-09-11T01:00:00+09:00,2026-09-12T04:00:00+09:00,2026-09-12T04:00:00+09:00,2026-09-12T07:00:00+09:00,hard,0.3985,hdf
EVT-20f20ae6d3609d67-001,ISS-20f20ae6d3609d67,CNC-S02-L01-04,tool_wear_failure,TWF,2026-09-08T23:00:00+09:00,2026-09-09T19:00:00+09:00,2026-09-09T19:10:00+09:00,2026-09-09T23:00:00+09:00,medium,0.8085,twf
EVT-ad57fe2086a6b96d-001,ISS-ad57fe2086a6b96d,CNC-S02-L02-01,tool_wear_failure,TWF,2026-08-05T17:00:00+09:00,2026-08-06T06:00:00+09:00,2026-08-06T06:10:00+09:00,2026-08-06T12:00:00+09:00,medium,0.7982,twf
EVT-2bdd5559fd617f4d-001,ISS-2bdd5559fd617f4d,CNC-S02-L02-02,tool_wear_failure,TWF,2026-08-17T06:00:00+09:00,2026-08-17T20:00:00+09:00,2026-08-17T20:10:00+09:00,2026-08-17T22:00:00+09:00,medium,0.7323,twf
EVT-44bf7579bba74ac0-001,ISS-44bf7579bba74ac0,CNC-S02-L02-03,tool_wear_failure,TWF,2026-08-04T14:00:00+09:00,2026-08-05T09:00:00+09:00,2026-08-05T09:10:00+09:00,2026-08-05T15:00:00+09:00,easy,1.1143,twf
EVT-c1827d74e765979b-001,ISS-c1827d74e765979b,CNC-S02-L02-04,heat_dissipation_failure,HDF,2026-08-28T01:00:00+09:00,2026-08-28T19:00:00+09:00,2026-08-28T19:00:00+09:00,2026-08-28T22:00:00+09:00,medium,0.5853,hdf
EVT-418b91065f71a774-001,ISS-418b91065f71a774,CNC-S02-L03-01,overstrain_failure,OSF,2026-08-16T23:00:00+09:00,2026-08-17T18:00:00+09:00,2026-08-17T18:10:00+09:00,2026-08-17T22:00:00+09:00,easy,1.1584,osf
EVT-e839d478a2d6c50a-001,ISS-e839d478a2d6c50a,CNC-S02-L03-02,power_failure,PWF,2026-08-01T16:00:00+09:00,2026-08-02T20:00:00+09:00,2026-08-02T20:00:00+09:00,2026-08-03T03:00:00+09:00,hard,0.2659,high_power
EVT-3da5d74c5c658357-001,ISS-3da5d74c5c658357,CNC-S02-L03-03,overstrain_failure,OSF,2026-08-11T00:00:00+09:00,2026-08-11T20:00:00+09:00,2026-08-11T20:10:00+09:00,2026-08-11T22:00:00+09:00,medium,0.592,osf
