event_id,issue_id,asset_id,failure_mode,component,degradation_started_at,failure_occurred_at,maintenance_started_at,maintenance_completed_at,snr_profile,signal_strength,condition_variant
EVT-18384db60124bb00-001,ISS-18384db60124bb00,CMP-S01-L01-01,pressure_control_degradation,comp3,2026-08-12T17:00:00+09:00,2026-08-14T16:00:00+09:00,2026-08-14T16:00:00+09:00,2026-08-14T23:00:00+09:00,easy,1.1341,
EVT-434aec67de7dbb20-001,ISS-434aec67de7dbb20,CMP-S01-L02-01,bearing_degradation,comp4,2026-08-09T04:00:00+09:00,2026-08-10T22:00:00+09:00,2026-08-10T22:00:00+09:00,2026-08-11T03:00:00+09:00,easy,1.007,
EVT-cc0749b1a2c95e7c-001,ISS-cc0749b1a2c95e7c,CMP-S01-L03-01,pressure_control_degradation,comp3,2026-08-22T07:00:00+09:00,2026-08-24T03:00:00+09:00,2026-08-24T03:00:00+09:00,2026-08-24T13:00:00+09:00,hard,0.3414,
EVT-2bc940220a3008c3-001,ISS-2bc940220a3008c3,CMP-S01-L04-01,pressure_control_degradation,comp3,2026-08-19T13:00:00+09:00,2026-08-20T22:00:00+09:00,2026-08-20T22:00:00+09:00,2026-08-21T04:00:00+09:00,medium,0.8075,
EVT-d00b55884d464d48-001,ISS-d00b55884d464d48,CMP-S01-L05-01,bearing_degradation,comp4,2026-08-23T12:00:00+09:00,2026-08-24T20:00:00+09:00,2026-08-24T20:00:00+09:00,2026-08-25T06:00:00+09:00,hard,0.4044,
EVT-847fb7be54ee4ae1-001,ISS-847fb7be54ee4ae1,CMP-S02-L01-01,drive_degradation,comp2,2026-09-01T02:00:00+09:00,2026-09-02T16:00:00+09:00,2026-09-02T16:00:00+09:00,2026-09-02T20:00:00+09:00,medium,0.8157,
EVT-de4d3b7b056c0184-001,ISS-de4d3b7b056c0184,CMP-S02-L01-01,pressure_control_degradation,comp3,2026-08-11T14:00:00+09:00,2026-08-12T17:00:00+09:00,2026-08-12T17:00:00+09:00,2026-08-13T00:00:00+09:00,easy,1.0622,
EVT-01a1f76b1d475ad2-001,ISS-01a1f76b1d475ad2,CMP-S02-L02-01,drive_degradation,comp2,2026-08-09T02:00:00+09:00,2026-08-10T06:00:00+09:00,2026-08-10T06:00:00+09:00,2026-08-10T14:00:00+09:00,easy,0.9646,
EVT-f1d1e512555d173f-001,ISS-f1d1e512555d173f,CMP-S02-L03-01,drive_degradation,comp2,2026-08-20T13:00:00+09:00,2026-08-21T13:00:00+09:00,2026-08-21T13:00:00+09:00,2026-08-21T18:00:00+09:00,easy,1.0033,
EVT-5a411b83ac9e48c8-001,ISS-5a411b83ac9e48c8,CMP-S02-L04-01,electrical_anomaly,comp1,2026-08-02T21:00:00+09:00,2026-08-04T05:00:00+09:00,2026-08-04T05:00:00+09:00,2026-08-04T09:00:00+09:00,medium,0.5853,
EVT-d3afaba0aaaedfe0-001,ISS-d3afaba0aaaedfe0,CMP-S02-L05-01,pressure_control_degradation,comp3,2026-08-07T19:00:00+09:00,2026-08-09T03:00:00+09:00,2026-08-09T03:00:00+09:00,2026-08-09T08:00:00+09:00,medium,0.5605,
EVT-a46669fc50453e4c-001,ISS-a46669fc50453e4c,CMP-S03-L01-01,bearing_degradation,comp4,2026-08-16T12:00:00+09:00,2026-08-17T18:00:00+09:00,2026-08-17T18:00:00+09:00,2026-08-18T04:00:00+09:00,easy,1.1161,
EVT-84f95b771bf57c0e-001,ISS-84f95b771bf57c0e,CMP-S03-L02-01,bearing_degradation,comp4,2026-08-04T14:00:00+09:00,2026-08-06T11:00:00+09:00,2026-08-06T11:00:00+09:00,2026-08-06T19:00:00+09:00,medium,0.7209,
EVT-c784b9c52986966f-001,ISS-c784b9c52986966f,CMP-S03-L03-01,drive_degradation,comp2,2026-08-07T18:00:00+09:00,2026-08-09T08:00:00+09:00,2026-08-09T08:00:00+09:00,2026-08-09T19:00:00+09:00,medium,0.753,
EVT-3c227d4d1e1996c6-001,ISS-3c227d4d1e1996c6,CMP-S03-L04-01,bearing_degradation,comp4,2026-08-17T15:00:00+09:00,2026-08-19T15:00:00+09:00,2026-08-19T15:00:00+09:00,2026-08-20T01:00:00+09:00,medium,0.7484,
EVT-d9b83d0d796a3599-001,ISS-d9b83d0d796a3599,CMP-S03-L05-01,bearing_degradation,comp4,2026-09-05T14:00:00+09:00,2026-09-06T22:00:00+09:00,2026-09-06T22:00:00+09:00,2026-09-07T03:00:00+09:00,medium,0.7522,
EVT-a72ea80641d176e1-001,ISS-a72ea80641d176e1,CMP-S03-L05-01,pressure_control_degradation,comp3,2026-08-03T22:00:00+09:00,2026-08-05T18:00:00+09:00,2026-08-05T18:00:00+09:00,2026-08-05T22:00:00+09:00,medium,0.8064,
EVT-49dfb738a8c3bf91-001,ISS-49dfb738a8c3bf91,CMP-S04-L01-01,pressure_control_degradation,comp3,2026-08-26T14:00:00+09:00,2026-08-28T11:00:00+09:00,2026-08-28T11:00:00+09:00,2026-08-28T16:00:00+09:00,medium,0.7028,
EVT-7abda51917a720e5-001,ISS-7abda51917a720e5,CMP-S04-L01-01,drive_degradation,comp2,2026-08-03T22:00:00+09:00,2026-08-05T09:00:00+09:00,2026-08-05T09:00:00+09:00,2026-08-05T21:00:00+09:00,medium,0.5534,
EVT-1f654cd366bb2329-001,ISS-1f654cd366bb2329,CMP-S04-L02-01,pressure_control_degradation,comp3,2026-08-01T10:00:00+09:00,2026-08-03T03:00:00+09:00,2026-08-03T03:00:00+09:00,2026-08-03T15:00:00+09:00,hard,0.2188,
EVT-05d3cd03ece82eb9-001,ISS-05d3cd03ece82eb9,CMP-S04-L03-01,electrical_anomaly,comp1,2026-08-01T14:00:00+09:00,2026-08-02T23:00:00+09:00,2026-08-02T23:00:00+09:00,2026-08-03T11:00:00+09:00,easy,0.9614,
