observed_at,asset_id,site_id,cell_id,is_operating,operating_state,product_type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,generator_version
2026-09-03T08:00:00+09:00,CNC-S01-L01-01,S01,S01-L01,1,running,L,299.3681,308.8745,1547.6962,42.9174,107.0754,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L01-02,S01,S01-L01,1,running,H,302.8972,312.3028,1424.0421,45.2822,107.806,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L01-03,S01,S01-L01,1,running,L,296.6151,307.3964,1465.7818,39.7389,174.2814,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L01-04,S01,S01-L01,1,running,H,297.8254,309.039,1517.2673,42.1333,92.3675,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L02-01,S01,S01-L02,1,running,L,299.3637,308.2637,1294.8043,48.4476,216.7743,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L02-02,S01,S01-L02,1,running,M,301.3326,310.6988,1654.9383,40.8995,121.8308,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L02-03,S01,S01-L02,1,running,H,298.8663,309.3202,1449.6416,50.2449,140.6988,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L02-04,S01,S01-L02,1,running,H,301.8373,310.7373,1586.9994,41.576,75.5552,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L03-01,S01,S01-L03,1,running,H,301.0158,310.3716,1497.4812,39.8056,28.8761,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L03-02,S01,S01-L03,1,running,H,299.297,308.197,1669.6085,31.8349,145.3342,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L03-03,S01,S01-L03,1,running,M,297.7274,307.8824,1601.9389,37.3845,102.5271,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L03-04,S01,S01-L03,1,running,M,303.5713,312.4713,1488.7811,41.0607,167.3632,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L04-01,S01,S01-L04,1,running,M,298.3245,309.6587,1509.3644,44.1925,188.7663,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L04-02,S01,S01-L04,1,running,M,301.3423,311.3138,1586.162,38.5114,184.0393,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L04-03,S01,S01-L04,1,running,M,301.2013,310.3383,1313.432,50.8114,192.5094,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L04-04,S01,S01-L04,1,running,M,300.3154,310.5613,1624.4586,34.8129,172.0891,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L05-01,S01,S01-L05,1,running,L,302.3402,311.2402,1330.7748,56.4462,164.9744,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L05-02,S01,S01-L05,1,running,H,299.518,310.9722,1447.1265,50.5011,31.2022,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L05-03,S01,S01-L05,1,running,L,300.8788,311.2459,1708.4868,32.3051,50.8856,relation-reasoning-agent-eval-v3.1
2026-09-03T08:00:00+09:00,CNC-S01-L05-04,S01,S01-L05,1,running,M,301.7008,310.8444,1518.8484,38.6934,172.4958,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L01-01,S01,S01-L01,1,running,L,299.6077,309.3251,1550.3011,39.7719,107.765,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L01-02,S01,S01-L01,1,running,M,301.8179,311.6324,1382.1102,52.3975,109.0701,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L01-03,S01,S01-L01,1,running,L,296.3705,307.0878,1401.0331,52.8609,175.006,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L01-04,S01,S01-L01,1,running,H,297.1442,308.9019,1498.0709,41.3794,92.3675,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L02-01,S01,S01-L02,1,running,L,299.7167,308.6167,1388.7358,45.43,217.5786,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L02-02,S01,S01-L02,1,running,H,302.684,311.5978,1649.2546,33.1456,122.8589,relation-reasoning-agent-eval-v3.1
2026-09-03T08:10:00+09:00,CNC-S01-L02-03,S01,S01-L02,1,running,L,298.6185,309.1186,1512.7813,45.1724,141.9869,relation-reasoning-agent-eval-v3.1
