maintenance_id,asset_id,maintenance_type,started_at,completed_at,tool_replaced,source_event_id
MNT-EVT-e839d478a2d6c50a-001,CNC-S02-L03-02,failure_recovery,2026-08-02T20:00:00+09:00,2026-08-03T03:00:00+09:00,0,EVT-e839d478a2d6c50a-001
MNT-EVT-05d3cd03ece82eb9-001,CMP-S04-L03-01,failure_recovery,2026-08-02T23:00:00+09:00,2026-08-03T11:00:00+09:00,0,EVT-05d3cd03ece82eb9-001
MNT-EVT-1f654cd366bb2329-001,CMP-S04-L02-01,failure_recovery,2026-08-03T03:00:00+09:00,2026-08-03T15:00:00+09:00,0,EVT-1f654cd366bb2329-001
MNT-TOOL-CNC-S01-L04-01-0000195,CNC-S01-L04-01,planned_tool_change,2026-08-03T17:00:00+09:00,2026-08-03T17:30:00+09:00,1,
MNT-TOOL-CNC-S04-L03-04-0000196,CNC-S04-L03-04,planned_tool_change,2026-08-03T17:20:00+09:00,2026-08-03T17:50:00+09:00,1,
MNT-TOOL-CNC-S01-L03-03-0000197,CNC-S01-L03-03,planned_tool_change,2026-08-03T17:40:00+09:00,2026-08-03T18:10:00+09:00,1,
MNT-TOOL-CNC-S01-L05-02-0000201,CNC-S01-L05-02,planned_tool_change,2026-08-03T19:00:00+09:00,2026-08-03T19:30:00+09:00,1,
MNT-TOOL-CNC-S01-L05-04-0000201,CNC-S01-L05-04,planned_tool_change,2026-08-03T19:00:00+09:00,2026-08-03T19:30:00+09:00,1,
MNT-TOOL-CNC-S02-L05-01-0000201,CNC-S02-L05-01,planned_tool_change,2026-08-03T19:00:00+09:00,2026-08-03T19:30:00+09:00,1,
MNT-TOOL-CNC-S01-L01-04-0000202,CNC-S01-L01-04,planned_tool_change,2026-08-03T19:20:00+09:00,2026-08-03T19:50:00+09:00,1,
MNT-TOOL-CNC-S01-L03-02-0000202,CNC-S01-L03-02,planned_tool_change,2026-08-03T19:20:00+09:00,2026-08-03T19:50:00+09:00,1,
MNT-TOOL-CNC-S03-L01-02-0000202,CNC-S03-L01-02,planned_tool_change,2026-08-03T19:20:00+09:00,2026-08-03T19:50:00+09:00,1,
MNT-TOOL-CNC-S04-L02-04-0000202,CNC-S04-L02-04,planned_tool_change,2026-08-03T19:20:00+09:00,2026-08-03T19:50:00+09:00,1,
MNT-TOOL-CNC-S01-L04-04-0000203,CNC-S01-L04-04,planned_tool_change,2026-08-03T19:40:00+09:00,2026-08-03T20:10:00+09:00,1,
MNT-TOOL-CNC-S04-L03-01-0000203,CNC-S04-L03-01,planned_tool_change,2026-08-03T19:40:00+09:00,2026-08-03T20:10:00+09:00,1,
MNT-TOOL-CNC-S02-L01-02-0000204,CNC-S02-L01-02,planned_tool_change,2026-08-03T20:00:00+09:00,2026-08-03T20:30:00+09:00,1,
MNT-TOOL-CNC-S04-L04-02-0000204,CNC-S04-L04-02,planned_tool_change,2026-08-03T20:00:00+09:00,2026-08-03T20:30:00+09:00,1,
MNT-TOOL-CNC-S03-L02-03-0000205,CNC-S03-L02-03,planned_tool_change,2026-08-03T20:20:00+09:00,2026-08-03T20:50:00+09:00,1,
