issue_id,asset_id,asset_type,component,failure_mode,first_failure_offset_hours,recurrence_interval_hours,pre_failure_window_hours,downtime_hours,snr_profile,signal_strength
ISS-18384db60124bb00,CMP-S01-L01-01,compressor,comp3,pressure_control_degradation,328,2302,47,7,easy,1.1341
ISS-e5026a2ca1cfd6cd,CNC-S01-L01-01,cnc,OSF,overstrain_failure,894,1078,30,2,easy,1.0047
ISS-82c39e004d37ae9a,CNC-S01-L01-02,cnc,TWF,tool_wear_failure,1150,1307,34,5,easy,1.0973
ISS-0cf837532a371510,CNC-S01-L01-03,cnc,TWF,tool_wear_failure,899,1226,34,4,medium,0.6081
ISS-22537b591d7e5835,CNC-S01-L01-04,cnc,TWF,tool_wear_failure,759,1678,15,8,medium,0.6214
ISS-1072e44d1c12a46b,CNC-S01-L01-04,cnc,PWF,power_failure,185,1155,24,6,medium,0.7197
ISS-434aec67de7dbb20,CMP-S01-L02-01,compressor,comp4,bearing_degradation,238,3681,42,5,easy,1.007
ISS-27cc45ffa0406351,CNC-S01-L02-01,cnc,TWF,tool_wear_failure,802,1376,15,4,medium,0.7752
ISS-2d195d54b96628f1,CNC-S01-L02-02,cnc,HDF,heat_dissipation_failure,170,2272,20,6,medium,0.6942
ISS-529d3dd8c521074b,CNC-S01-L02-03,cnc,PWF,power_failure,1172,1452,32,3,medium,0.7776
ISS-0275d75fcb49cd7b,CNC-S01-L02-04,cnc,HDF,heat_dissipation_failure,434,965,22,4,easy,1.1783
ISS-cc0749b1a2c95e7c,CMP-S01-L03-01,compressor,comp3,pressure_control_degradation,555,3070,44,10,hard,0.3414
ISS-e603231ab4bd2fcb,CNC-S01-L03-01,cnc,HDF,heat_dissipation_failure,567,2049,29,7,medium,0.7924
ISS-d0978cf93e63b70e,CNC-S01-L03-02,cnc,HDF,heat_dissipation_failure,1038,1183,28,2,medium,0.7825
ISS-5ffec92f9e2d6dd1,CNC-S01-L03-03,cnc,HDF,heat_dissipation_failure,155,2293,25,5,medium,0.819
ISS-8bde4dacf11f2fef,CNC-S01-L03-04,cnc,RNF,random_failure,771,923,33,2,medium,0.695
ISS-2bc940220a3008c3,CMP-S01-L04-01,compressor,comp3,pressure_control_degradation,478,2656,33,6,medium,0.8075
ISS-3c8cf76234a90adb,CNC-S01-L04-01,cnc,HDF,heat_dissipation_failure,401,1925,36,6,hard,0.3915
ISS-002d878c3cec7b9d,CNC-S01-L04-02,cnc,PWF,power_failure,337,2147,18,4,medium,0.6956
ISS-397909eb7f2bb218,CNC-S01-L04-03,cnc,PWF,power_failure,362,901,31,5,easy,1.1823
ISS-bb9be28a39a13612,CNC-S01-L04-04,cnc,OSF,overstrain_failure,142,1529,19,3,hard,0.4083
ISS-f58dc3151435138f,CNC-S01-L04-04,cnc,HDF,heat_dissipation_failure,581,1041,36,8,easy,1.1149
ISS-d00b55884d464d48,CMP-S01-L05-01,compressor,comp4,bearing_degradation,572,2876,32,10,hard,0.4044
ISS-c8840ecab5b918ba,CNC-S01-L05-01,cnc,OSF,overstrain_failure,841,2360,21,7,medium,0.6683
ISS-13bc1a3c083ec926,CNC-S01-L05-02,cnc,TWF,tool_wear_failure,716,1360,14,2,medium,0.6121
ISS-19aacdd8e25a7389,CNC-S01-L05-03,cnc,TWF,tool_wear_failure,492,2192,13,2,hard,0.3891
ISS-d975815f334f3a4d,CNC-S01-L05-03,cnc,HDF,heat_dissipation_failure,465,2270,27,6,easy,1.1839
ISS-1fdd6e9bba76ca4d,CNC-S01-L05-04,cnc,PWF,power_failure,992,1868,19,8,medium,0.5755
ISS-847fb7be54ee4ae1,CMP-S02-L01-01,compressor,comp2,drive_degradation,784,3883,38,4,medium,0.8157
ISS-de4d3b7b056c0184,CMP-S02-L01-01,compressor,comp3,pressure_control_degradation,281,3589,27,7,easy,1.0622
ISS-f620214f13b45f78,CNC-S02-L01-01,cnc,HDF,heat_dissipation_failure,537,1470,26,8,hard,0.2975
ISS-a75191e8f372d6b6,CNC-S02-L01-02,cnc,PWF,power_failure,585,1003,32,8,easy,0.9733
ISS-27e3aff4df18e575,CNC-S02-L01-03,cnc,HDF,heat_dissipation_failure,1012,1732,27,3,hard,0.3985
ISS-20f20ae6d3609d67,CNC-S02-L01-04,cnc,TWF,tool_wear_failure,955,1699,20,4,medium,0.8085
ISS-01a1f76b1d475ad2,CMP-S02-L02-01,compressor,comp2,drive_degradation,222,4193,28,8,easy,0.9646
ISS-ad57fe2086a6b96d,CNC-S02-L02-01,cnc,TWF,tool_wear_failure,126,1542,13,6,medium,0.7982
ISS-2bdd5559fd617f4d,CNC-S02-L02-02,cnc,TWF,tool_wear_failure,404,1940,14,2,medium,0.7323
ISS-44bf7579bba74ac0,CNC-S02-L02-03,cnc,TWF,tool_wear_failure,105,2066,19,6,easy,1.1143
ISS-c1827d74e765979b,CNC-S02-L02-04,cnc,HDF,heat_dissipation_failure,667,1434,18,3,medium,0.5853
ISS-f1d1e512555d173f,CMP-S02-L03-01,compressor,comp2,drive_degradation,493,2497,24,5,easy,1.0033
ISS-418b91065f71a774,CNC-S02-L03-01,cnc,OSF,overstrain_failure,402,1040,19,4,easy,1.1584
ISS-e839d478a2d6c50a,CNC-S02-L03-02,cnc,PWF,power_failure,44,2239,28,7,hard,0.2659
ISS-3da5d74c5c658357,CNC-S02-L03-03,cnc,OSF,overstrain_failure,260,1175,20,2,medium,0.592
ISS-d0b79f5f73ba43c2,CNC-S02-L03-04,cnc,HDF,heat_dissipation_failure,564,1602,18,6,medium,0.7944
ISS-5a411b83ac9e48c8,CMP-S02-L04-01,compressor,comp1,electrical_anomaly,77,3934,32,4,medium,0.5853
ISS-aa58a3db9feda190,CNC-S02-L04-01,cnc,HDF,heat_dissipation_failure,904,1804,29,6,easy,0.9688
ISS-1b8620c0eafabb1a,CNC-S02-L04-02,cnc,OSF,overstrain_failure,780,2017,13,6,medium,0.666
ISS-9a43bd3a8f94b7fd,CNC-S02-L04-02,cnc,HDF,heat_dissipation_failure,239,981,23,7,easy,0.9757
ISS-c9adad2e4ee87cb0,CNC-S02-L04-03,cnc,OSF,overstrain_failure,347,1732,31,3,hard,0.4148
ISS-9f736b7f054989b2,CNC-S02-L04-04,cnc,OSF,overstrain_failure,778,950,17,4,medium,0.6612
ISS-d3afaba0aaaedfe0,CMP-S02-L05-01,compressor,comp3,pressure_control_degradation,195,3216,32,5,medium,0.5605
ISS-15c53b705e117eac,CNC-S02-L05-01,cnc,HDF,heat_dissipation_failure,649,1842,23,8,medium,0.6115
ISS-775fa2c26c107934,CNC-S02-L05-01,cnc,PWF,power_failure,166,1572,20,8,medium,0.7232
ISS-de540c782552b31e,CNC-S02-L05-02,cnc,HDF,heat_dissipation_failure,80,1998,22,2,hard,0.2575
ISS-a0f47d883f69c423,CNC-S02-L05-03,cnc,RNF,random_failure,634,978,15,5,medium,0.7623
ISS-f0d2a1ebd5ad3f6d,CNC-S02-L05-04,cnc,RNF,random_failure,413,1136,24,4,easy,1.059
ISS-a46669fc50453e4c,CMP-S03-L01-01,compressor,comp4,bearing_degradation,402,4946,30,10,easy,1.1161
ISS-fdd4b687ecc1c84b,CNC-S03-L01-01,cnc,HDF,heat_dissipation_failure,650,1155,35,6,medium,0.6603
ISS-9f496228c4f04d30,CNC-S03-L01-02,cnc,HDF,heat_dissipation_failure,885,1160,18,7,hard,0.349
ISS-0773ba9e7cd83870,CNC-S03-L01-03,cnc,PWF,power_failure,1146,1516,24,8,easy,1.0217
ISS-5a49ab5a4eeb5fa3,CNC-S03-L01-04,cnc,PWF,power_failure,976,2240,22,5,medium,0.6077
ISS-84f95b771bf57c0e,CMP-S03-L02-01,compressor,comp4,bearing_degradation,131,2895,45,8,medium,0.7209
ISS-618c201baa0a73fa,CNC-S03-L02-01,cnc,OSF,overstrain_failure,668,1381,33,3,hard,0.2324
ISS-6dcf34fd8c7a4760,CNC-S03-L02-01,cnc,RNF,random_failure,185,2151,36,5,medium,0.72
ISS-bee14cff318e920a,CNC-S03-L02-02,cnc,HDF,heat_dissipation_failure,1036,2326,24,5,easy,1.114
ISS-603e0517d855a01b,CNC-S03-L02-02,cnc,OSF,overstrain_failure,906,1118,36,3,easy,1.1895
ISS-004d5935350b4afb,CNC-S03-L02-03,cnc,PWF,power_failure,284,1002,29,8,easy,0.9833
ISS-f0c2d0dce47cd070,CNC-S03-L02-04,cnc,PWF,power_failure,680,2044,31,8,hard,0.3348
ISS-c784b9c52986966f,CMP-S03-L03-01,compressor,comp2,drive_degradation,200,4444,38,11,medium,0.753
ISS-2ecfc98059db3ec2,CNC-S03-L03-01,cnc,HDF,heat_dissipation_failure,516,1967,27,4,medium,0.7427
ISS-269396695ca7898a,CNC-S03-L03-02,cnc,HDF,heat_dissipation_failure,307,2006,14,3,easy,1.1235
ISS-cbde7c70e42217d8,CNC-S03-L03-03,cnc,TWF,tool_wear_failure,1135,1734,22,5,medium,0.6058
ISS-668b89a7e32444dd,CNC-S03-L03-04,cnc,OSF,overstrain_failure,74,2096,34,8,hard,0.3267
ISS-3c227d4d1e1996c6,CMP-S03-L04-01,compressor,comp4,bearing_degradation,447,3423,48,10,medium,0.7484
ISS-a4227f810c89921e,CNC-S03-L04-01,cnc,OSF,overstrain_failure,582,1899,19,5,medium,0.655
ISS-4185563444bb1226,CNC-S03-L04-02,cnc,OSF,overstrain_failure,981,2383,17,3,hard,0.3175
ISS-dbee5072b39cbc4f,CNC-S03-L04-03,cnc,PWF,power_failure,195,2257,12,7,medium,0.784
ISS-49dce13474ab484a,CNC-S03-L04-04,cnc,HDF,heat_dissipation_failure,955,1570,18,4,medium,0.7875
ISS-d9b83d0d796a3599,CMP-S03-L05-01,compressor,comp4,bearing_degradation,886,3926,32,5,medium,0.7522
ISS-a72ea80641d176e1,CMP-S03-L05-01,compressor,comp3,pressure_control_degradation,114,3118,44,4,medium,0.8064
ISS-a451246b1d50e05c,CNC-S03-L05-01,cnc,HDF,heat_dissipation_failure,187,941,31,3,easy,1.1174
ISS-c33d1e24c22a671f,CNC-S03-L05-02,cnc,HDF,heat_dissipation_failure,779,2332,20,3,medium,0.8102
ISS-706c525edb14467f,CNC-S03-L05-03,cnc,OSF,overstrain_failure,245,1235,21,6,easy,1.028
ISS-67211e509de4b761,CNC-S03-L05-04,cnc,RNF,random_failure,440,1712,34,2,medium,0.7743
