case_id,case_type,injected_upstream_asset_id,affected_downstream_asset_id,relation_type,expected_claim_status,local_cause,effect_started_at,effect_ended_at,mechanism,severity,pressure_drop_fraction_max,torque_delta_nm_max,process_temperature_delta_k_max,tool_wear_delta_min_max,causal_claim_allowed
CASE-RR-001,positive_upstream_relation,CMP-S01-L04-01,CNC-S01-L04-01,SUPPLIES_AIR_TO,candidate,,2026-08-06T23:00:00+09:00,2026-08-07T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.55,0.088,3.52,0.2475,0.0,no
CASE-RR-002,positive_upstream_relation,CMP-S01-L04-01,CNC-S01-L04-02,SUPPLIES_AIR_TO,candidate,,2026-08-06T23:00:00+09:00,2026-08-07T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.55,0.088,9.531721,0.2475,0.0,no
CASE-RR-003,positive_upstream_relation,CMP-S01-L04-01,CNC-S01-L04-03,SUPPLIES_AIR_TO,candidate,,2026-08-06T23:00:00+09:00,2026-08-07T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.55,0.088,3.52,0.2475,0.0,no
CASE-RR-004,positive_upstream_relation,CMP-S01-L04-01,CNC-S01-L04-04,SUPPLIES_AIR_TO,candidate,,2026-08-06T23:00:00+09:00,2026-08-07T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.55,0.088,12.453263,0.2475,0.0,no
CASE-RR-005,positive_upstream_relation,CMP-S01-L01-01,CNC-S01-L01-01,SUPPLIES_AIR_TO,candidate,,2026-08-12T23:00:00+09:00,2026-08-13T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.75,0.12,4.8,0.3375,0.0,no
CASE-RR-006,positive_upstream_relation,CMP-S01-L01-01,CNC-S01-L01-02,SUPPLIES_AIR_TO,candidate,,2026-08-12T23:00:00+09:00,2026-08-13T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.75,0.12,4.8,0.3375,0.0,no
CASE-RR-007,positive_upstream_relation,CMP-S01-L01-01,CNC-S01-L01-03,SUPPLIES_AIR_TO,candidate,,2026-08-12T23:00:00+09:00,2026-08-13T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.75,0.12,10.230751,0.3375,0.0,no
CASE-RR-008,positive_upstream_relation,CMP-S01-L01-01,CNC-S01-L01-04,SUPPLIES_AIR_TO,candidate,,2026-08-12T23:00:00+09:00,2026-08-13T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.75,0.12,11.91041,0.3375,0.0,no
CASE-RR-009,positive_upstream_relation,CMP-S02-L04-01,CNC-S02-L04-01,SUPPLIES_AIR_TO,candidate,,2026-08-18T23:00:00+09:00,2026-08-19T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.9,0.144,5.76,0.405,0.0,no
CASE-RR-010,positive_upstream_relation,CMP-S02-L04-01,CNC-S02-L04-02,SUPPLIES_AIR_TO,candidate,,2026-08-18T23:00:00+09:00,2026-08-19T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.9,0.144,16.333192,0.405,0.0,no
CASE-RR-011,positive_upstream_relation,CMP-S02-L04-01,CNC-S02-L04-03,SUPPLIES_AIR_TO,candidate,,2026-08-18T23:00:00+09:00,2026-08-19T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.9,0.144,5.76,0.405,0.0,no
CASE-RR-012,positive_upstream_relation,CMP-S02-L04-01,CNC-S02-L04-04,SUPPLIES_AIR_TO,candidate,,2026-08-18T23:00:00+09:00,2026-08-19T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.9,0.144,5.76,0.405,0.0,no
CASE-RR-013,positive_upstream_relation,CMP-S02-L03-01,CNC-S02-L03-01,SUPPLIES_AIR_TO,candidate,,2026-08-24T23:00:00+09:00,2026-08-25T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.65,0.104,4.16,0.2925,0.0,no
CASE-RR-014,positive_upstream_relation,CMP-S02-L03-01,CNC-S02-L03-02,SUPPLIES_AIR_TO,candidate,,2026-08-24T23:00:00+09:00,2026-08-25T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.65,0.104,4.16,0.2925,0.0,no
CASE-RR-015,positive_upstream_relation,CMP-S02-L03-01,CNC-S02-L03-03,SUPPLIES_AIR_TO,candidate,,2026-08-24T23:00:00+09:00,2026-08-25T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.65,0.104,6.503736,0.2925,0.0,no
CASE-RR-016,positive_upstream_relation,CMP-S02-L03-01,CNC-S02-L03-04,SUPPLIES_AIR_TO,candidate,,2026-08-24T23:00:00+09:00,2026-08-25T23:00:00+09:00,synthetic_connected_air_supply_evaluation,0.65,0.104,4.16,0.2925,0.0,no
CASE-RR-017,negative_local_only,,CNC-S03-L02-01,NO_UPSTREAM_RELATION,unlikely,local_cnc_process_anomaly,2026-08-06T23:00:00+09:00,2026-08-07T23:00:00+09:00,synthetic_local_only_evaluation,0.55,0.0,3.3,0.495,0.0,no
CASE-RR-018,negative_local_only,,CNC-S02-L02-02,NO_UPSTREAM_RELATION,unlikely,local_cnc_process_anomaly,2026-08-12T23:00:00+09:00,2026-08-13T23:00:00+09:00,synthetic_local_only_evaluation,0.75,0.0,4.5,0.675,0.0,no
CASE-RR-019,negative_local_only,,CNC-S02-L01-02,NO_UPSTREAM_RELATION,unlikely,local_cnc_process_anomaly,2026-08-18T23:00:00+09:00,2026-08-19T23:00:00+09:00,synthetic_local_only_evaluation,0.9,0.0,5.4,0.81,0.0,no
CASE-RR-020,negative_local_only,,CNC-S01-L05-04,NO_UPSTREAM_RELATION,unlikely,local_cnc_process_anomaly,2026-08-24T23:00:00+09:00,2026-08-25T23:00:00+09:00,synthetic_local_only_evaluation,0.65,0.0,3.9,0.585,0.0,no
