case_id,target_asset_id,site_id,investigation_window_start,investigation_window_end,case_path
CASE-RR-001,CNC-S01-L04-01,S01,2026-08-05T23:00:00+09:00,2026-08-08T23:00:00+09:00,public_cases/CASE-RR-001/case.json
CASE-RR-002,CNC-S01-L04-02,S01,2026-08-05T23:00:00+09:00,2026-08-08T23:00:00+09:00,public_cases/CASE-RR-002/case.json
CASE-RR-003,CNC-S01-L04-03,S01,2026-08-05T23:00:00+09:00,2026-08-08T23:00:00+09:00,public_cases/CASE-RR-003/case.json
CASE-RR-004,CNC-S01-L04-04,S01,2026-08-05T23:00:00+09:00,2026-08-08T23:00:00+09:00,public_cases/CASE-RR-004/case.json
CASE-RR-005,CNC-S01-L01-01,S01,2026-08-11T23:00:00+09:00,2026-08-14T23:00:00+09:00,public_cases/CASE-RR-005/case.json
CASE-RR-006,CNC-S01-L01-02,S01,2026-08-11T23:00:00+09:00,2026-08-14T23:00:00+09:00,public_cases/CASE-RR-006/case.json
CASE-RR-007,CNC-S01-L01-03,S01,2026-08-11T23:00:00+09:00,2026-08-14T23:00:00+09:00,public_cases/CASE-RR-007/case.json
CASE-RR-008,CNC-S01-L01-04,S01,2026-08-11T23:00:00+09:00,2026-08-14T23:00:00+09:00,public_cases/CASE-RR-008/case.json
CASE-RR-009,CNC-S02-L04-01,S02,2026-08-17T23:00:00+09:00,2026-08-20T23:00:00+09:00,public_cases/CASE-RR-009/case.json
CASE-RR-010,CNC-S02-L04-02,S02,2026-08-17T23:00:00+09:00,2026-08-20T23:00:00+09:00,public_cases/CASE-RR-010/case.json
CASE-RR-011,CNC-S02-L04-03,S02,2026-08-17T23:00:00+09:00,2026-08-20T23:00:00+09:00,public_cases/CASE-RR-011/case.json
CASE-RR-012,CNC-S02-L04-04,S02,2026-08-17T23:00:00+09:00,2026-08-20T23:00:00+09:00,public_cases/CASE-RR-012/case.json
CASE-RR-013,CNC-S02-L03-01,S02,2026-08-23T23:00:00+09:00,2026-08-26T23:00:00+09:00,public_cases/CASE-RR-013/case.json
CASE-RR-014,CNC-S02-L03-02,S02,2026-08-23T23:00:00+09:00,2026-08-26T23:00:00+09:00,public_cases/CASE-RR-014/case.json
CASE-RR-015,CNC-S02-L03-03,S02,2026-08-23T23:00:00+09:00,2026-08-26T23:00:00+09:00,public_cases/CASE-RR-015/case.json
CASE-RR-016,CNC-S02-L03-04,S02,2026-08-23T23:00:00+09:00,2026-08-26T23:00:00+09:00,public_cases/CASE-RR-016/case.json
CASE-RR-017,CNC-S03-L02-01,S03,2026-08-05T23:00:00+09:00,2026-08-08T23:00:00+09:00,public_cases/CASE-RR-017/case.json
CASE-RR-018,CNC-S02-L02-02,S02,2026-08-11T23:00:00+09:00,2026-08-14T23:00:00+09:00,public_cases/CASE-RR-018/case.json
CASE-RR-019,CNC-S02-L01-02,S02,2026-08-17T23:00:00+09:00,2026-08-20T23:00:00+09:00,public_cases/CASE-RR-019/case.json
CASE-RR-020,CNC-S01-L05-04,S01,2026-08-23T23:00:00+09:00,2026-08-26T23:00:00+09:00,public_cases/CASE-RR-020/case.json
