observed_at,asset_id,site_id,cell_id,is_operating,operating_state,voltage_raw,rotation_raw,pressure_raw,vibration_raw,relative_vibration_z,relative_vibration_zone,generator_version
2026-08-11T23:00:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,182.681,441.4009,104.1238,42.0697,0.4145,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,172.3809,383.1433,94.3489,38.8827,-0.0362,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,192.7411,426.8272,104.8309,41.8927,0.2467,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,174.594,530.5237,90.8412,39.5415,-0.0392,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,162.6537,473.493,104.425,51.1165,1.7729,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,181.1249,447.8794,106.2039,44.7308,0.9073,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,170.8553,408.7098,96.3799,39.1725,0.0174,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,202.3588,427.7713,100.8682,42.6126,0.38,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,184.2654,515.3555,97.2672,45.6899,1.0994,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,171.1483,471.3026,104.3883,43.6127,0.3833,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:20:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,183.6879,446.6667,109.5108,37.0867,-0.5082,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:20:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,176.7894,424.867,99.3235,40.3581,0.237,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:20:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,190.6269,375.4007,98.4188,40.6074,0.0087,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:20:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,172.4175,497.0194,105.4374,51.6187,2.1973,C,relation-reasoning-agent-eval-v3.1
2026-08-11T23:20:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,157.1282,439.5697,100.804,43.273,0.3204,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:30:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,177.8194,457.6108,108.7587,30.7808,-1.676,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:30:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,170.3821,427.5563,99.7008,44.6874,1.0387,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:30:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,180.2591,427.0515,102.2713,41.7301,0.2166,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:30:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,181.9181,521.7299,109.1187,49.2702,1.7624,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:30:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,189.0258,471.4552,97.0293,49.4451,1.4634,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:40:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,194.8839,461.3395,108.5357,29.3828,-1.9349,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:40:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,163.5458,403.5984,97.5859,40.3738,0.2399,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:40:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,184.6086,384.0384,98.7161,44.9832,0.819,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:40:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,177.9831,497.8211,100.0336,44.1166,0.8081,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:40:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,200.385,462.5382,91.9981,46.9412,0.9997,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:50:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,182.1797,442.8361,113.2794,33.7172,-1.1322,B,relation-reasoning-agent-eval-v3.1
2026-08-11T23:50:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,168.0048,410.2452,104.0892,41.3998,0.4299,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:50:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,189.9805,365.1076,99.8048,43.1403,0.4778,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:50:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,180.0678,477.8023,98.5928,41.1981,0.2676,A,relation-reasoning-agent-eval-v3.1
2026-08-11T23:50:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,175.3495,408.7304,97.9893,45.3875,0.712,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:00:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,174.4506,434.2481,111.3743,35.9421,-0.7202,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:00:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,186.3948,379.8559,107.5465,41.2402,0.4004,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:00:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,198.7758,422.5859,107.8356,40.176,-0.0712,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:00:00+09:00,CMP-S01-L04-01,S01,S01-L04,1,running,168.3963,475.0819,97.274,37.9854,-0.3273,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:00:00+09:00,CMP-S01-L05-01,S01,S01-L05,1,running,187.7358,400.1107,91.4054,46.1391,0.8512,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:10:00+09:00,CMP-S01-L01-01,S01,S01-L01,1,running,174.2024,479.3463,108.8224,35.6037,-0.7829,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:10:00+09:00,CMP-S01-L02-01,S01,S01-L02,1,running,167.4041,301.8689,100.3221,37.4832,-0.2954,A,relation-reasoning-agent-eval-v3.1
2026-08-12T00:10:00+09:00,CMP-S01-L03-01,S01,S01-L03,1,running,183.5104,429.4789,113.63,40.5494,-0.002,A,relation-reasoning-agent-eval-v3.1
