observed_at,asset_id,site_id,cell_id,is_operating,operating_state,product_type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,generator_version
2026-08-11T23:00:00+09:00,CNC-S01-L01-01,S01,S01-L01,1,running,L,302.0167,311.2004,1514.3676,39.0846,113.7358,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L01-02,S01,S01-L01,1,running,H,297.176,308.7688,1732.7884,29.1846,122.5625,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L01-03,S01,S01-L01,1,running,L,296.7458,307.5649,1662.9392,30.1424,78.585,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L01-04,S01,S01-L01,1,running,H,301.7379,311.1949,1727.5889,31.6358,112.1754,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L02-01,S01,S01-L02,1,running,L,300.9597,310.9223,1665.6152,29.2784,79.9993,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L02-02,S01,S01-L02,1,running,L,300.2698,309.4129,1492.3296,40.7997,91.0741,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L02-03,S01,S01-L02,1,running,L,302.1113,312.6921,1681.1324,31.3659,153.5769,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L02-04,S01,S01-L02,1,running,L,299.0837,309.7856,1863.0828,25.8568,55.6728,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L03-01,S01,S01-L03,1,running,L,299.3141,310.3423,1679.064,32.1067,160.1969,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L03-02,S01,S01-L03,1,running,M,300.3675,309.2675,1578.793,37.0213,167.4768,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L03-03,S01,S01-L03,1,running,M,298.0993,308.0568,1569.5169,44.8595,78.9363,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L03-04,S01,S01-L03,1,running,M,297.8776,307.798,1352.6235,57.7929,83.7477,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L04-01,S01,S01-L04,1,running,L,298.1866,308.6273,1924.8841,22.8708,173.9288,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L04-02,S01,S01-L04,1,running,H,297.708,307.9447,1673.7055,33.0463,128.9562,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L04-03,S01,S01-L04,1,running,L,299.9112,310.9047,1541.7432,45.8077,166.5156,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L04-04,S01,S01-L04,1,running,L,300.2224,309.2162,1845.7713,26.9383,152.3398,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L05-01,S01,S01-L05,1,running,M,300.4464,310.9043,1669.1891,33.3463,112.9797,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L05-02,S01,S01-L05,1,running,L,299.6118,309.829,1466.1475,46.0806,144.3563,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L05-03,S01,S01-L05,1,running,M,295.9499,307.7577,1757.031,31.8437,97.4123,relation-reasoning-agent-eval-v3.1
2026-08-11T23:00:00+09:00,CNC-S01-L05-04,S01,S01-L05,1,running,H,301.0973,310.4232,1477.3074,54.881,162.5821,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L01-01,S01,S01-L01,1,running,L,302.6581,311.6059,1557.6202,37.3475,113.7358,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L01-02,S01,S01-L01,1,running,H,300.7974,310.8951,1695.03,31.2571,122.5625,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L01-03,S01,S01-L01,1,running,L,298.678,309.5613,1597.3681,38.7896,78.585,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L01-04,S01,S01-L01,1,running,H,299.8863,310.1268,1800.7294,26.3675,112.1754,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L02-01,S01,S01-L02,1,running,L,302.7732,312.6561,1864.3688,25.6843,79.9993,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L02-02,S01,S01-L02,1,running,L,298.901,308.2549,1536.5414,39.2385,91.0741,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L02-03,S01,S01-L02,1,running,L,301.7814,312.2169,1703.9455,28.9332,153.5769,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L02-04,S01,S01-L02,1,running,L,300.4873,310.4015,1731.8724,30.8222,55.6728,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L03-01,S01,S01-L03,1,running,L,300.1426,310.2796,1650.1697,34.0296,160.1969,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L03-02,S01,S01-L03,1,running,M,299.0824,307.9824,1715.1836,26.6097,167.4768,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L03-03,S01,S01-L03,1,running,M,296.4853,307.4473,1510.0988,47.1783,78.9363,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L03-04,S01,S01-L03,1,running,M,296.413,307.5213,1455.5064,50.5662,83.7477,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L04-01,S01,S01-L04,1,running,L,296.9241,307.4171,1728.1328,28.8216,173.9288,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L04-02,S01,S01-L04,1,running,H,298.2098,308.118,1523.6287,41.4646,128.9562,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L04-03,S01,S01-L04,1,running,L,298.8825,309.2257,1578.7261,40.2965,166.5156,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L04-04,S01,S01-L04,1,running,L,299.3379,308.9649,1626.2013,37.1271,152.3398,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L05-01,S01,S01-L05,1,running,M,301.0545,310.6869,1641.3571,35.9852,112.9797,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L05-02,S01,S01-L05,1,running,L,299.0905,309.3755,1421.4842,46.4912,144.3563,relation-reasoning-agent-eval-v3.1
2026-08-11T23:10:00+09:00,CNC-S01-L05-03,S01,S01-L05,1,running,M,298.8641,310.5161,1576.4133,37.2598,97.4123,relation-reasoning-agent-eval-v3.1
