asset_id,asset_type,site_id,cell_id
CMP-S03-L01-01,compressor,S03,S03-L01
CNC-S03-L01-01,cnc,S03,S03-L01
CNC-S03-L01-02,cnc,S03,S03-L01
CNC-S03-L01-03,cnc,S03,S03-L01
CNC-S03-L01-04,cnc,S03,S03-L01
CMP-S03-L02-01,compressor,S03,S03-L02
CNC-S03-L02-01,cnc,S03,S03-L02
CNC-S03-L02-02,cnc,S03,S03-L02
CNC-S03-L02-03,cnc,S03,S03-L02
CNC-S03-L02-04,cnc,S03,S03-L02
CMP-S03-L03-01,compressor,S03,S03-L03
CNC-S03-L03-01,cnc,S03,S03-L03
CNC-S03-L03-02,cnc,S03,S03-L03
CNC-S03-L03-03,cnc,S03,S03-L03
CNC-S03-L03-04,cnc,S03,S03-L03
CMP-S03-L04-01,compressor,S03,S03-L04
CNC-S03-L04-01,cnc,S03,S03-L04
CNC-S03-L04-02,cnc,S03,S03-L04
CNC-S03-L04-03,cnc,S03,S03-L04
CNC-S03-L04-04,cnc,S03,S03-L04
CMP-S03-L05-01,compressor,S03,S03-L05
CNC-S03-L05-01,cnc,S03,S03-L05
CNC-S03-L05-02,cnc,S03,S03-L05
CNC-S03-L05-03,cnc,S03,S03-L05
CNC-S03-L05-04,cnc,S03,S03-L05
